Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IPI - FUMO;IPI - BEBIDAS;IPI - AUTOMÓVEIS;IPI - VINCULADO À IMPORTACAO;IPI - OUTROS;IRPF;IRPJ - ENTIDADES FINANCEIRAS;IRPJ - DEMAIS EMPRESAS;IRRF - RENDIMENTOS DO TRABALHO;IRRF - RENDIMENTOS DO CAPITAL;IRRF - REMESSAS P/ EXTERIOR;IRRF - OUTROS RENDIMENTOS;IMPOSTO S/ OPERAÇÕES FINANCEIRAS;IMPOSTO TERRITORIAL RURAL;IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF;CPMF;COFINS;COFINS - FINANCEIRAS;COFINS - DEMAIS;CONTRIBUIÇÃO PARA O PIS/PASEP;CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS;CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS;CSLL;CSLL - FINANCEIRAS;CSLL - DEMAIS;CIDE-COMBUSTÍVEIS (parc. não dedutível);CIDE-COMBUSTÍVEIS;CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES;CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público;CONTRIBUICÕES PARA FUNDAF;REFIS;PAES;RETENÇÃO NA FONTE - LEI 10.833, Art. 30;PAGAMENTO UNIFICADO;OUTRAS RECEITAS ADMINISTRADAS;DEMAIS RECEITAS;RECEITA PREVIDENCIÁRIA;RECEITA PREVIDENCIÁRIA - PRÓPRIA;RECEITA PREVIDENCIÁRIA - DEMAIS;ADMINISTRADAS POR OUTROS ÓRGÃOS
2000;Janeiro;RR;2047;0;248589;0;0;690;0;84094;2223;668266;1178651;72674;11610;24652;0;13251;0;4554;1235857;;;565519;;;506689;;;;;3264918;;23370;;;;;10853;;;;;
2000;Janeiro;RS;23706984;17019;15940060;13444334;479;12988034;50885273;7983115;2110667;113868661;68118112;46861858;3784824;8564748;5355726;2727118;0;31927953;200556246;;;45417354;;;50752151;;;;;23328593;;2166383;;;;;1003974;;;;;
2000;Janeiro;SC;10437923;0;6511482;5851028;23;5583498;20069652;2565756;365238;33677024;26629264;14441777;761978;2748866;862524;1010070;0;7064450;88190893;;;19643361;;;15084755;;;;;14064783;;729076;;;;;296371;;;;;
2000;Janeiro;SE;641774;0;981545;4912423;0;491998;736311;636954;5064;4426060;3836728;1480410;164422;142602;99725;100372;0;1036669;8814324;;;2470732;;;1703480;;;;;3219153;;93224;;;;;39117;;;;;
2000;Janeiro;SP;314476068;943;61452206;53883669;49619167;176643862;291724165;120292536;97732178;644103314;548114688;795174269;150982193;0;144267541;2612994;0;740365053;1362196861;;;333417622;;;313413193;;;;;57677329;;20833488;;;;;13082134;;;;;
2000;Janeiro;TO;93;161;390924;77031;0;31;23154;67719;0;941987;809722;9948;1261;65703;1562;156607;0;7961;2848843;;;847823;;;626700;;;;;1257842;;46081;;;;;47499;;;;;
2000;Fevereiro;AC;441;0;255361;0;0;0;11437;144788;615;420583;893024;11549;567;22353;1447;1948;0;243;1389041;;;396228;;;216706;;;;;649829;;23226;;;;;21142;;;;;
2000;Fevereiro;AL;291946;0;1277065;729351;0;87642;3166326;613939;2004;1782438;4346350;316392;78845;300088;7670;12447;0;79757;6868060;;;1681055;;;1151327;;;;;3430938;;119320;;;;;231133;;;;;
2000;Fevereiro;AP;24385;0;346633;1936;321;29102;2038;133473;0;426290;1712222;10603;4145;53839;1497;2938;0;0;1264476;;;442178;;;186695;;;;;2852959;;31597;;;;;10234;;;;;
2000;Fevereiro;AM;10801921;0;1344628;1120477;0;2834547;837811;622857;160982;7740294;11156861;3216678;3229491;1129731;861281;7590;0;939258;34742922;;;9495134;;;19333811;;;;;4357747;;162494;;;;;343853;;;;;
